,original_sentence,label
0,Well go to Sofa  take empty_ketchup finally come back .,Move ( Sofa )  Grasp ( empty_ketchup )  Comeback ( )
1,Go to Dining_Sofa next detect camera  take it .,Move ( Dining_Sofa )  Find ( camera )  Grasp ( camera )
2,Move to Living_Table  grasp Bleach  leave the apartment please .,Move ( Living_Table )  Grasp ( Bleach )  Move ( apartment )
3,Go to Sofa  take Cup_Star put it on Living_Table okay .,Move ( Sofa ) Grasp ( Cup_Star )  Move ( Living_Table )  Place ( Cup_Star )
4,Go to Kitchen_Table move to Living_Table take Red_Tea .,Move ( Kitchen_Table )  Move ( Living_Table )  Find ( Red_Tea )  Grasp ( Red_Tea )  Comeback ( )
5,Can you move to Living_Table get toy_car then come back .,Move ( Living_Table )  Grasp ( toy_car )  Comeback ( )
6,Move to Side_Table get ground_pepper place it on Sofa okay .,Move ( Side_Table )  Grasp ( ground_pepper ) Move ( Sofa )  Place ( ground_pepper )
7,Would you go to Kitchen_Table  take sugar  bring it to Side_Table .,Move ( Kitchen_Table )  Grasp ( sugar )  Move ( Side_Table )
8,Can you move to Side_Table get salt then come back .,Move ( Side_Table )  Grasp ( salt )  Comeback ( )
9,Go to Visitor_Room take canned_juice put it on Bar please .,Move ( Visitor_Room )  Find ( canned_juice )  Grasp ( canned_juice )  Move ( Bar )  Place ( canned_juice )
10,Move to Sofa  go to Bar then exit the apartment .,Move ( Sofa )  Move ( Bar )  Move ( apartment )
11,Well get Cup_Noodle from Living_Table go to Dining_Room move to Sofa .,Move ( Living_Table )  Grasp ( Cup_Noodle )  Move ( Dining_Room )  Move ( Sofa )
12,Call a person then ask for an order get Brown_Tea from Reception_Table .,Say ( person )  Listen ( Brown_Tea )  Move ( Reception_Table )  Find ( Brown_Tea )  Grasp ( Brown_Tea )  Move ( Brown_Tea )  Place ( Brown_Tea )
13,Can you bring nursing_bottle from Bar go to Kitchen_Room move to Sofa .,Move ( Bar )  Grasp ( nursing_bottle )  Move ( Kitchen_Room ) Move ( Sofa )
14,Can you bring filled_ketchup from Sofa go to lobby move to Reception_Table .,Move ( Sofa )  Grasp ( filled_ketchup )  Move ( lobby ) Move ( Reception_Table )
15,Would you go to Dining_Table  take spray_bottle  bring it to Living_Sofa .,Move ( Dining_Table )  Grasp ( spray_bottle )  Move ( Living_Sofa )
16,Go to lobby  move to Dining_Table  finally leave the apartment .,Move ( lobby )  Move ( Dining_Table ) Move ( apartment )
17,Would you move to Reception_Table grasp dog_doll and come back .,Move ( Reception_Table )  Grasp ( dog_doll )  Comeback ( )
18,Move to Living_Table  grasp Cup_Noodle  leave the apartment please .,Move ( Living_Table )  Grasp ( Cup_Noodle )  Move ( apartment )
19,Can you go to Side_Table take cigarette carry it to Bar .,Move ( Side_Table  ) Find ( cigarette LCAOTION ) Grasp ( cigarette ) Move ( Side_Table )
20,Can you go to Kitchen_Table take apple carry it to Living_Table .,Move ( Kitchen_Table  ) Find ( apple LCAOTION ) Grasp ( apple ) Move ( Kitchen_Table )
21,Go to Corridor er find a person neayby bring sauce from Dining_Sofa .,Move ( Corridor ) Find ( person Corridor ) Move ( Dining_Sofa ) Grasp ( sauce )
22,Well go to Side_Table  take Korean_Soup finally come back .,Move ( Side_Table ) Grasp ( Korean_Soup ) Move ( HERE )
