data,PPL,BLUE
./attention_PI_0.05PS_0.9PD_0.05_phoneme_model/log_1549305174,11.18,36.5
./attention_PI_0.05PS_0.9PD_0.05_Noisy_model/log_1549309215,6.58,48.8
./attention_PI_0.0PS_0.0PD_0.0PS_S1.0_phoneme_model/log_1549313800,11.88,29.5
./attention_PI_0.0PS_0.0PD_0.0PS_S1.0_Noisy_model/log_1549318045,7.58,38.9
./attention_PI_0.1PS_0.1PD_0.1PS_S0.7_phoneme_model/log_1549322357,12.08,40.0
./attention_PI_0.1PS_0.1PD_0.1PS_S0.7_Noisy_model/log_1549326684,6.91,52.3
./attention_PI_0.2PS_0.2PD_0.2PS_S0.4_phoneme_model/log_1549330926,8.76,35.0
./attention_PI_0.2PS_0.2PD_0.2PS_S0.4_Noisy_model/log_1549335289,4.23,56.1
./Noattention_PI_0.05PS_0.9PD_0.05_phoneme_model/log_1549340437,2.17,61.5
./Noattention_PI_0.05PS_0.9PD_0.05_Noisy_model/log_1549305950,3.61,44.4
./Noattention_PI_0.0PS_0.0PD_0.0PS_S1.0_phoneme_model/log_1549310049,7.85,31.7
./Noattention_PI_0.0PS_0.0PD_0.0PS_S1.0_Noisy_model/log_1549314641,6.48,35.1
./Noattention_PI_0.1PS_0.1PD_0.1PS_S0.7_phoneme_model/log_1549318883,6.0,34.3
./Noattention_PI_0.1PS_0.1PD_0.1PS_S0.7_Noisy_model/log_1549323193,2.89,52.1
./Noattention_PI_0.2PS_0.2PD_0.2PS_S0.4_phoneme_model/log_1549327518,5.65,34.8
./Noattention_PI_0.2PS_0.2PD_0.2PS_S0.4_Noisy_model/log_1549331762,2.35,47.1
data,PPL,BLUE
./attention_PI_0.05PS_0.9PD_0.05_phoneme_model/log_1549305174,11.18,36.5
./attention_PI_0.05PS_0.9PD_0.05_Noisy_model/log_1549309215,6.58,48.8
./attention_PI_0.0PS_0.0PD_0.0PS_S1.0_phoneme_model/log_1549313800,11.88,29.5
./attention_PI_0.0PS_0.0PD_0.0PS_S1.0_Noisy_model/log_1549318045,7.58,38.9
./attention_PI_0.1PS_0.1PD_0.1PS_S0.7_phoneme_model/log_1549322357,12.08,40.0
./attention_PI_0.1PS_0.1PD_0.1PS_S0.7_Noisy_model/log_1549326684,6.91,52.3
./attention_PI_0.2PS_0.2PD_0.2PS_S0.4_phoneme_model/log_1549330926,8.76,35.0
./attention_PI_0.2PS_0.2PD_0.2PS_S0.4_Noisy_model/log_1549335289,4.23,56.1
./Noattention_PI_0.05PS_0.9PD_0.05_phoneme_model/log_1549340437,2.17,61.5
./Noattention_PI_0.05PS_0.9PD_0.05_Noisy_model/log_1549305950,3.61,44.4
./Noattention_PI_0.0PS_0.0PD_0.0PS_S1.0_phoneme_model/log_1549341864,2.24,64.2
./Noattention_PI_0.0PS_0.0PD_0.0PS_S1.0_Noisy_model/log_1549314641,6.48,35.1
./Noattention_PI_0.1PS_0.1PD_0.1PS_S0.7_phoneme_model/log_1549318883,6.0,34.3
./Noattention_PI_0.1PS_0.1PD_0.1PS_S0.7_Noisy_model/log_1549323193,2.89,52.1
./Noattention_PI_0.2PS_0.2PD_0.2PS_S0.4_phoneme_model/log_1549327518,5.65,34.8
./Noattention_PI_0.2PS_0.2PD_0.2PS_S0.4_Noisy_model/log_1549331762,2.35,47.1
data,PPL,BLUE
./attention_PI_0.05PS_0.9PD_0.05_phoneme_model/log_1549305174,11.18,36.5
./attention_PI_0.05PS_0.9PD_0.05_Noisy_model/log_1549309215,6.58,48.8
./attention_PI_0.0PS_0.0PD_0.0PS_S1.0_phoneme_model/log_1549313800,11.88,29.5
./attention_PI_0.0PS_0.0PD_0.0PS_S1.0_Noisy_model/log_1549318045,7.58,38.9
./attention_PI_0.1PS_0.1PD_0.1PS_S0.7_phoneme_model/log_1549322357,12.08,40.0
./attention_PI_0.1PS_0.1PD_0.1PS_S0.7_Noisy_model/log_1549326684,6.91,52.3
./attention_PI_0.2PS_0.2PD_0.2PS_S0.4_phoneme_model/log_1549330926,8.76,35.0
./attention_PI_0.2PS_0.2PD_0.2PS_S0.4_Noisy_model/log_1549335289,4.23,56.1
./Noattention_PI_0.05PS_0.9PD_0.05_phoneme_model/log_1549340437,2.17,61.5
./Noattention_PI_0.05PS_0.9PD_0.05_Noisy_model/log_1549305950,3.61,44.4
./Noattention_PI_0.0PS_0.0PD_0.0PS_S1.0_phoneme_model/log_1549341864,2.24,64.2
./Noattention_PI_0.0PS_0.0PD_0.0PS_S1.0_Noisy_model/log_1549314641,6.48,35.1
./Noattention_PI_0.1PS_0.1PD_0.1PS_S0.7_phoneme_model/log_1549341889,2.32,60.4
./Noattention_PI_0.1PS_0.1PD_0.1PS_S0.7_Noisy_model/log_1549323193,2.89,52.1
./Noattention_PI_0.2PS_0.2PD_0.2PS_S0.4_phoneme_model/log_1549327518,5.65,34.8
./Noattention_PI_0.2PS_0.2PD_0.2PS_S0.4_Noisy_model/log_1549331762,2.35,47.1
data,PPL,BLUE
./attention_PI_0.05PS_0.9PD_0.05_phoneme_model/log_1549305174,11.18,36.5
./attention_PI_0.05PS_0.9PD_0.05_Noisy_model/log_1549309215,6.58,48.8
./attention_PI_0.0PS_0.0PD_0.0PS_S1.0_phoneme_model/log_1549313800,11.88,29.5
./attention_PI_0.0PS_0.0PD_0.0PS_S1.0_Noisy_model/log_1549318045,7.58,38.9
./attention_PI_0.1PS_0.1PD_0.1PS_S0.7_phoneme_model/log_1549322357,12.08,40.0
./attention_PI_0.1PS_0.1PD_0.1PS_S0.7_Noisy_model/log_1549326684,6.91,52.3
./attention_PI_0.2PS_0.2PD_0.2PS_S0.4_phoneme_model/log_1549330926,8.76,35.0
./attention_PI_0.2PS_0.2PD_0.2PS_S0.4_Noisy_model/log_1549335289,4.23,56.1
./Noattention_PI_0.05PS_0.9PD_0.05_phoneme_model/log_1549340437,2.17,61.5
./Noattention_PI_0.05PS_0.9PD_0.05_Noisy_model/log_1549305950,3.61,44.4
./Noattention_PI_0.0PS_0.0PD_0.0PS_S1.0_phoneme_model/log_1549341864,2.24,64.2
./Noattention_PI_0.0PS_0.0PD_0.0PS_S1.0_Noisy_model/log_1549314641,6.48,35.1
